text,label,second label
geldi benim motivasyon kadın,0,
Gereksiz insanların gereksiz yorumları. harika görünüyorsun ve ilerde daha da harika olacaksın eminim. Bu sürecinde bir diyetisyen olarak  desteğim hazır mesaj atman yeterli ??,0,
Güçlü bir cumhuriyet kadını görüyorum.,0,
Günümü güzelleştirdin ,0,
Güzel içerik olmuş ,0,
Güzelimmmm,0,
Hadi bismillah 🙏✨ Rabbim yardımcın olsun,0,
Helal abla arkandayım takipteyim 👏💪,0,
Hadi yaparsın sen sana inanıyoruz 💪🔥🌟,0,
Helal bacıma 🙌🔥,0,
Haklısın bebeğim ❤️,0,
Helal be abla 👏🔥,0,
Harika birisin 🌸✨😍👏,0,
Helal olsun 👏🙌🔥✨🌟,0,
Harika gidiyorsun abla arkandayız 🚀💪👏✨,0,
Helal olsun başaracağına eminim takibe alıyorum bana da gaz olsun 🚀💪✨👏,0,
Harikasın 👑🔥✨🌟👏🙌,0,
Helal olsun vazgeçmek yok devam çok tatlısın ve seviliyorsun 😍💪🔥❤️🌸👏,0,
Harikasın Ezgi, seni destekliyoruz 🤝❤️💪,0,
Hep böyle kal 🌸✨💖,0,
Harikasın lütfen kulaklarını kapat ve eğitmenine sıkı sıkı sarıl 🙏💪,0,
HEPSİ COK GÜZEL 😍🌸👏✨,0,
Harikasın videolarını bekliyoruz 🎥✨👏 İşte böyle kimseyi dinlemeden hem spora hem salona hem sosyal medyaya devam 🚀🔥💪👏,0,
Hepsi çok yakışmış 😎👌👏✨,0,
Harikasın ya enerjine bayıldım!! Go Girl!! Haters gonna hate fck them all!!!! 🔥🔥👏🙌✨💪,0,
Her halinle çok güzelsin 🌹😍,0,
Harikasın 😍🌸 iyiki keşfetime düştün, yeni takipçinle tanış 🙌💖👏🌟✨🚀,0,
Her şey çok güzel gidiyor 🌟🚀✨💪,0,
Herkes kendi hayatına baksın ya,0,
İlk,0,
insanlar anca konuşmayı biliyor lütfen kötü yorumları dikkate almayın ne güzel sağlığınız için güzel bir adım atmışsınız tebrikler,0,
İstikrarlı kadın ,0,
İşte bu herşeye rağmen devam be kızım,0,
İyi ki buradasın 🌸✨🙌,0,
Konuş queen 👑✨,0,
İyi ki keşfetmişim seni 😍🌹✨,0,
Maşallah ablam çok güzelsin 🌸😍,0,
İyi ki takip ediyorum seni 👏❤️🌟,0,
Motivasyon kaynağım 🔥✨🌟💪👏🙌🚀🌈,0,
İyi ki varsın, böyle devam et 💪🔥🌸✨,0,
Motivasyon veriyorsun gerçekten 💡✨🌟,0,
Kesinlikle 👏🔥💯🙌✨🌟🚀,0,
Mükemmelsin 😍👏🌟🌸,0,
Kesinlikle başarabilirsin. Ve her halinle çok güzelsin 🌟👏😍🌹,0,
Mükemmelsin go girl 🚀🔥👏,0,
Keşke şu irade bende de olsa ya ağlıcam 😢🙏,0,
Ne güzel bir içerik ve anlatım 🎥✨🌸,0,
Kız sen ne güzelsin böyle 😍🌸✨,0,
Ne kadar güzel konuşuyorsun 🎤🌟👏,0,
Kolay gelsin tatlım 🌹💪,0,
Neden bu kız zorbalanıyor bence çok tatlı ve gayette sempatik böyle devam,0,
Prenses,0,
sabır ve azimle her şey olur,0,
Sana bayılıyorum 😍❤️,0,
Sana güveniyoruz Sen güçlü bir genç kızsın her türlü başarırsın 💪🔥✨🌟👏🙌,0,
Sen çok tatlısın ve kendini sevmeni seviyorum 🥰🌸,0,
Sen her halinle her şeyinle güzelsin çünkü kalbin güzel seni seviyorum ❤️🌸✨👏🌟🙌,0,
Seni ilk tanıdığımdan bu yana çok değişim görüyorum ablam böyle devam 💪✨,0,
Seni izlemek beni çok mutlu ediyor 🥰🙌,0,
Seni tebrik ederim 🎉👏🌟🌸,0,
Seninle gurur duyuyorum 🙌👏❤️,0,
Slay queen 👑🔥✨👏,0,
Slayyy 🚀✨,0,
Süper bi duruşun var sana çok hayranım 😍🙌,0,
Şu enerji ve isteği ben de hayatıma istiyorum 🔥✨💪🌟👏🚀,0,
Tebrik ederim Ezgi sağlıklı ve dinamik bir görünüm elde etmeni çok isterim bana da motivasyon oldu 🌸✨👏,0,
Tebrik ediyorum motivasyonunu hiç kaybetme diyorum çok tatlısın sakın ama sakın bırakma 💪🔥🌸,0,
Tebrikler 🎉👏🌟✨🌹,0,
Umarım başarırsın azimli ol 🙏💪,0,
Umarım hedeflerine ulaşırsın 🌟🔥👏✨🚀,0,
Umarım her şey hayal ettiğin gibi olur 🌈✨🌟,0,
Vuhhuuuuu 🎉🔥👏🙌💪🌟,0,
Ya MUHTEŞEM 😍👏 SÜPERSİN izledikçe benim de salona gidesim geliyo, ilham resmen 🚀🔥✨,0,
Yaa kimseyi takma gerçekten çok tatlısınız 🥰🌸,0,
Yakışır 😎👌,0,
Yapamayacağın şey yok, asla bırakma 💪🔥✨,0,
Yaparsın abla inanıyoruz sana 👏💪🔥✨,0,
Yaparsın sen 🚀🔥💪,0,
Yola devam durmak yok 💪🔥🚀✨👏,0,
Yolun açık olsun canım 🌟✨🙏💖,0,
Yorumlar çok kırıcı bence abla çok güzel 🌹✨,0,
Kendini ne sanıyorsun 😒,1,
Ne boş yapıyorsun be 🙄,1,
Sen ciddi ciddi akıllı olduğuna inanıyorsun galiba 🤔,1,
Senin gibi insanlara sözlükte "boşluk" deniyor 😑,1,
Tam bir aptal gibi davranıyorsun 🤦‍♂️,1,
150 kg bir insanın 5 kg kaldırması utanç verici 😳,1,
Kendini bir şey mi sanıyorsun ? 😤,1,
Abla kusucam aw 🤢,1,
Abla sen çok yiyorsun miden büyük 😬 ağzını kapatmazsan boş iş 🙄,1,
Aklın ermediği şeylere yorum yapma 🤯,1,
Aklın fikrin piçlikte başka bir şey değil 😒,1,
Balina 🐋,1,
Bana “belin kalın” diyen obezin kat kat olan beli???? Puahahaha 😂,1,
Bastığın her yer eziliyor… 😅,1,
Başka işin gücün yok mu gereksiz 😤,1,
Beynini aldırmışsın herhalde yazık 🤦‍♀️,1,
Böyle saçma bir fikir ancak çocuk aklından çıkar 🙄,1,
Bu kadar gerizekalı biri olamazsın 😳,1,
Çenen değil, beynin çalışsın 🧠,1,
Çöp 🗑️,1,
Dombili 😏,1,
Gerçekten rahatsız edici seviyedesin 😬,1,
Git biraz kitap oku geri kafalı! 📚,1,
Git işine sik kafalı 😡,1,
Git o pis kafanı yıka gel 🧼,1,
Her konuşman ayrı bir saçmalık 🙄,1,
Herkes senden rahatsız hiç farkında değilsin 😒,1,
Hiçbir halt bildiğin yok 😑,1,
İnsan utanır biraz 😳,1,
İnternetim yine boşa gitti 😤,1,
Kapa çeneni sürtük! 😡,1,
Kardeş bu nasıl pis bir şey ya 🤢,1,
Kendi çöplüğünde öt 🗑️,1,
Kevaşe gibi davranmayı bırak artık 😒,1,
Koca kafanla düşünemedin mi ***? 🤯,1,
Konuşmasan kimse seni orospu sanmaz 😑,1,
Kusura bakma ama çok sağlıksızsın ⚠️,1,
Ne saçmalıyorsun kaşar seni! 😤,1,
Ne yüzsüzsün 😏,1,
Otur oturduğun yerde sürtük 😡,1,
Panda 🐼,1,
Saçma sapan konuşma artık 🙄,1,
Sana cevap vermek bile vakit kaybı ⏳,1,
Sana laf anlatmak boş duvara konuşmak gibi 😒,1,
Sana yazmak bile vakit kaybı ⌛,1,
Sen konuşunca IQ’m düşüyor 🤯,1,
Sende beyin yerine başka bir şey var galiba 😑,1,
Senden nefret ediyorum 😡,1,
Senden tiksiniyorum 🤢,1,
Senin gibi şerefsiz görmedim hayatımda 😤,1,
Senin gibiler yüzünden ortam bozuluyor 😒,1,
Senin gibileri görünce umudum kalmıyor insanlıktan 😔,1,
Senin seviyene inmeyeceğim pislik 😏,1,
Senin zekân yerlerde sürünüyor 🤦‍♂️,1,
Seninle aynı ortamda bulunmak bok gibi 💩,1,
Siktir git buradan, beynin yok zaten 😡,1,
Ya karı ne anlatıyon aw bu ne kwmxkwkxokwkxs 😵,1,
Yine saçmalamışsın 🙄,1,
Yorumların bile değerli değil 😑,1,
Kadın olduğun için daha sabırlı olacağını düşünmüştüm.,2,
Erkek gibi liderlik edebiliyorsun, tebrikler.,2,
Kadınların duygusallığı yöneticilikte zor oluyor ama sen idare ediyorsun.,2,
Yükselmen ilginç, kadınlar genelde bu kadar istekli olmaz.,2,
Annelik içgüdüsü olmayan kadından korkulur.,2,
Kadın dediğin evi çekip çevirmeli önce.,2,
Bu yaştan sonra çocuk zor tabii.,2,
Kadınlar kariyer yapacağım diye anneliği unutuyor.,2,
Evlenince çalışmayı bırakırsın zaten.,2,
Başarılarının arkasında bir erkek var mı peki?,2,
Güzel yüzün sayesinde kolay ilerlemişsindir.,2,
Yönetici olman hoş ama yıpranmaz mısın?,2,
İlginç... Kadın CEO'ya alışkın değiliz biz.,2,
Kadınlar da artık kendini geliştiriyor tabii…,2,
Senin yaşında bir kadının bu kadar ilerlemesi büyük başarı!,2,
Kadın dayanışması işe yaramış gibi görünüyor.,2,
Senin gibi bir kadın bile bu noktaya gelebildiyse herkes gelebilir.,2,
Kadınlar matematikte iyi olamaz sanırdım.,2,
Peki bu zamana kadar neden bekledin 😏,3,
Sonunda yorumları ciddiye almışsın 😏,3,
İçerik tüketicisi 😒,3,
Bende diyorum dün neden salon sallandı 😅,3,
Uzun uzun felsefi cümleler kurmak 😏 Az yemek 😏,3,
Çok konuşuyo ya 🙄,3,
Köpeğin üstüne düşeceksin diye çok korktum 😅,3,
Biraz erken başlamışsın spora 😏,3,
Ahh canım kıyamam senin travman mı var onuda yersin sen 😅,3,
Evet böyle devam edersen zayıflamayacaksın, sadece içerik amacın var 😒,3,
Ablam salonda yer bırakmadığı için tek başına çalışıyor 😅,3,
Abla, beslenme düzenini ve egzersiz planını atabilir misin 😏 Ona göre yapmayacağım da 😅,3,
6 dk yapmış 😏,3,
Keşfet sal artık 😒,3,
Set arası iskender sarar 😅,3,
Mental değişim (daha aç) 😏,3,
Kaldırdığın ağırlık az değil mi canım 😏,3,
Sence tek sorun 15 kg alman mı 😒,3,
Daha fazla yemek için çalışıyor 😏,3,
Bu kaçıncı spora başlayışın 😅 Sadece sporla olmaz, midene sahip çık 😏,3,
Spordan sonra 6 tane burger iyi gider 😅🍔🍔🍔🍔🍔🍔,3,
Zahmet olmuş canım ya 😅,3,
Zayıflamaya mı yoksa gösteriş olsun diye mi 😏,3,
Abla oturduğun taburenin linkini yollasana 😅 Seni taşıyan neler yapar 😏,3,
Tayt: "Abicim beni bi bırak" 😅,3,
Senin bu kadar akıllı olman beni şaşırttı 😏,3,
Sen bunu kendi başına mı yaptın gerçekten 😏,3,
Bu konuda erkek gibi düşünüyorsun, aferin 😏,3,
Senin gibi güzel birinden bu kadar mantıklı bir şey beklemiyordum 😅,3,
Kodlama biliyorsun ha 😏 Vay be, helal 😎,3,
Senin ağzından böyle teknik terimler duymak ne garip 😏,3,
Şaka yapıyorsun, sen gerçekten mühendis misin 😅,3,
Bu raporu sen mi hazırladın, yoksa yardım mı aldın 😏,3,
Toplantıda söylediklerin çok mantıklıydı, senden beklenmeyecek bir şey 😅,3,
Ay canım, ne kadar da kendine güvenin var, takdir ettim 😏,3,
Cesaretine hayran kaldım, herkes böyle fotoğraf paylaşamaz 😅,3,
Yazmayı yeni mi öğrendin yoksa, çok gelişme var 😏,3,
Senin fikirlerini ciddiye alan var mı gerçekten 😏,3,
Herkesin bir yeteneği vardır, seninki de saçmalamak galiba 😅,3,
Çok zekisin gerçekten, Nobel’e aday olsan şaşırmam 😏,3,
Düşüncelerin çok “özgün” olmuş, Google bile bulamamış 😅,3,
Ne kadar da derin bir analiz, gözlerim doldu 😏,3,
Makyajın harika, yüzünü neredeyse tanıyamadım 😅,3,
Ne giysen yakışıyor, çünkü beklenti yok zaten 😏,3,
Kadınlar her konuda konuşmamalı derken seni kastetmişler 😅,3,2
Ne tatlısın, konuşmaya çalışıyorsun 😏,3,
Paylaşım yapmadan önce aynaya baktın mı, sadece soruyorum 😅,3,
O fikir senin mi, şaşırdım, cidden 😏,3,
Bir şey demek istemem ama demesem çatlarım 😅,3,
Ay ne kadar da bilgili görünüyorsun, internet sağ olsun 😏,3,
Bu kadar ilgi çekmeye çalışma, zaten yeterince komiksin 😅,3,
Zeka seviyenle barışık olman güzel bir şey 😏,3,
Ne kadar da güçlü görünüyorsun, kelimelerinden belli 😅,3,
Ay seni biri takip etse ne yapar acaba 😏,3,
Çok okumuşsun belli, yazım yanlışların bile entelektüel 😅,3,
Gerçekten yazdığına inandın mı yoksa troll müsün 😏,3,
Herkes bir şey anlatıyor, sen de bir şeyler işte 😅,3,
“Düşünce” sandığın şey aslında refleks galiba 😏,3,
Paylaşımın tam bir “ders çıkarılacak şey” ama tersinden 😅,3,
Ne kadar derinlikli bir bakış açısı 😏,3,
Anladık feminist falansın ama biraz da mantık lütfen 😅,3,
Kadınlar her konuda uzman artık, özellikle hiçbir konuda 😏,3,2
Fikirlerin o kadar nadir ki, kimse duymamış bile 😅,3,
Ay bu ne özgünlük, nereden kopyaladın 😏,3,
“Bu da bir görüş” diyelim, gitsin 😅,3,
Bir fikrin olması çok hoş ama işe yaramıyor maalesef 😏,3,
Yine mi sen 😅 Bekliyorduk zaten 😏,3,
Söylediklerinle mantığın arasındaki uçuruma bayıldım 😅,3,
Kendi çapında bir aktivistsin sanırım 😏,3,
Sana laf anlatmak IQ testine girmek gibi, sonuç sıfır 😅,3,
Herkesin kafası karışık ama seninki başka bir boyutta 😏,3,
Ay sen baya ciddisin ya, peki 😅,3,
Yorumların ilginç, özellikle “okunabilirliği” 😏,3,
Anlat anlat, belki biri ilgilenir 😅,3,
Aklını zorladığın için seni tebrik ediyorum 😏,3,
Sıradaki paylaşımın için merakla beklemedeyiz 😅,3,
Yine bir ‘kadınlar her şeyi bilir’ hikayesi 😏,3,2
Ay çok bilgilisin, her şeyi Wikipedia mı söyledi sana 😅,3,
Tartışma şeklin çok şık
Ne güzel açıklamışsın, tam bir karmaşa örneği 😅,3,
Seninle tartışmak akıl sağlığına zarar veriyor 😏,3,
Bu paylaşım resmen “beni ciddiye almayın” diyor 😅,3,
Güzellik geçici ama seninki hiç olmamış zaten 😏,3,
Fikirlerini sevdim ama sadece gülmek için 😅,3,
Sesin o kadar ince ki düşüncelerin de öyle sanırım 😏,3,
Okuyunca düşündüm: Acaba bu kişi gerçek mi 😅,3,
Anlam dolu cümleler, anlamlar nerede bilmiyorum 😏,3,
Fikirlerinle gurur duyabilirsin, en azından sen 😅,3,
Kendi çapında yıldızsın, karanlık bir gökyüzünde 😏,3,
Herkes konuşuyor, seninki de katkı sayılır mı bilmem 😅,3,
Takipçilerin var ya, azmin zaferi 😏,3,
Düşüncelerin kadar derin bir çay bardağı görmedim 😅,3,
Herkes kendi tarzında saçmalar, seninki de estetik 😏,3,
Senin söylediklerini anlamak için özel eğitim mi gerek 😅,3,
Bu kadar konuşup hiçbir şey dememek bir yetenek 😏,3,
Konuşmaya devam et, zaten kimse dinlemiyor 😅,3,
Güzelliğin içten geliyor ama dışarı çıkamamış 😏,3,
Söylediklerine karşı değilim, sadece anlamıyorum 😅,3,
Fotoğrafın ilginçmiş, gerçek mi o filtre mi 😏,3,
Kıyafetin çok “sen” olmuş, yani anlamsız 😅,3,
Yazım kurallarına düşman biri daha 😏,3,
Ne kadar boş, ne kadar anlamsız… bravo 😅,3,
O fikir senin mi, yoksa biriyle karıştırdık mı 😏,3,
Bu yorumla gündem olur musun, ancak şaka olarak 😅,3,
Çok tatlısın ama sadece tatlısın 😏,3,
Sanırım yanlış yere yazmışsın, burası ciddi insanlar için 😅,3,
Ne demeye çalıştığını anladık, gibi yaptık 😏,3,
Konuşmaların çok etkileyici… sustuğunda 😅,3,
Bu açıklamayı hangi yapay zeka yazdı 😏,3,
Ay sen ciddi mi düşünüyorsun bu konuları 😅,3,
Takipçilerin seni takip etmiyor, izliyor 😏,3,
Cevapların tam olarak hiçbir şey söylemiyor 😅,3,
Görüşlerin ilginç, hiçbiri mantıklı değil ama 😏,3,
Gülüşün çok etkileyici, sustuğunda daha da etkili 😅,3,
O kadar düşünmüşsün ki beynin yorulmuş 😏,3,
Duyguların çok yoğun, ama ifade edememişsin 😅,3,
Yorumuna bakınca “neden” diye soruyorum 😏,3,
Konuşman çok güçlü, sesi kısmak lazım 😅,3,
Her şeyini gösterdin, fikirlerini de bir gün görür müyüz 😏,3,
Ay sen baya klavye delikanlısı olmuşsun 😅,3,
Senin profilin tam “örnek vaka” gibi 😏,3,
Akıl yürütüyorsun ama yürümüyor gibi 😅,3,
Yazdıklarını okudum, beynim kapanıp tekrar açıldı 😏,3,
Modayı sen yaratıyorsun galiba 😅,3,
Yalnız olman şaşırtmadı doğrusu, çok seçicisin 😏,3,
Bu yaştan sonra evlenmek zor olabilir tabii 😅,3,
Senin gibisine zor adam dayanır 😏,3,
Neden hâlâ evlenmedin, anlamıyorum 😅,3,
Bu pozisyona torpille gelmemişsindir umarım 😏,3,
Sana rapor vermek tuhaf hissettiriyor, alışacağım artık 😅,3,
Yemek yapmıyorsan ne işe yararsın 😏,3,
Bugün çok farklı görünüyorsun, hasta mısın 😷,4,
Makyajsız halin seni tanınmaz yapmış 😳,4,
Bu kıyafeti bilerek mi giydin 🤨,4,
Sen güzelsin ama bir zahmet biraz bakımlı olsan… 🙄,4,
Topuklu giymiyorsan neden kadınsın ki 😒,4,
Doğal halinle barışık olman çok... cesurca 😅,4,
Kadın gibi giyinsen fena olmazdı 🤔,4,
Ameliyat olmalısın ama büyük ihtimalle korkuyorsun,4,
Fillness,4,
Zayıflamış bu arada,4,
Alt katman çok kalın gibi,4,
Lütfen zayıfla, şu insanların sana dediklerinden ben rahatsız oldum 😒,4,
Roberto Carlos gibi bacağı var HAHSHAHAHAHAHAHAHAHAHAHA 😂,4,
Bu fizikle tayt mı giyiyorsun 😳,4,
Zayıf halini çok merak ediyorum 🤨,4,
Balon patlayacak 🎈,4,
Abla nereden başlayacaksın eritmeyi 🤔,4,
Yüzün güzel aşko 😏,4,
Abla diyete başlasan mı acaba 🤷‍♀️,4,
Zayıflasa harbi güzel kız da... Neyse, devam etmesi umuduyla 😅,4,
90² 60² 90² 📏,4,
O burunla nasıl selfie çekebiliyorsun gerçekten şaşırıyorum 😬,4,
Makyaj yapmasan seni tanımazdık 😳,4,
Burnun ekranı kapladı resmen 😑,4,
Kaşlarını neden böyle aldırdın, çok kötü olmuş 😒,4,
Dişlerin yamuk mu, filtre de kurtaramamış.,4,
Suratında mimik yok, estetik mi fazla geldi?,4,
Boyun kaç ki topuklu giyiyorsun?,4,
Gerçekten o saç rengi sana mı yakıştığını sanıyorsun?,4,
Yüz hatların baya agresif duruyor.,4,
Tipin değişince belki karakterin de değişir.,4,
Göbeğini saklamayı denedin mi hiç?,4,
Dudakların balon gibi duruyor.,4,
Ne giyersen giy olmuyor işte, zorlamasan mı?,4,
Cildin neden bu kadar problemli?,4,
Makyajdan suratın çatlayacak sanırım.,4,
Estetik yaptırmışsın ama hiç işe yaramamış.,4,
O gözlük seni daha da garip göstermiş.,4,
Gözlerin küçük olduğu için makyaj da kurtaramamış.,4,
Herkes her kıyafeti taşıyamaz, sen de öyle.,4,
Belin mi yok, neden böyle kıyafet giyiyorsun?,4,
Saçların sanki yağlı duruyor, kötü olmuş.,4,
Senin vücut tipiyle bu kıyafet pek olmadı.,4,
Kaşlarını fazla mı aldın, yüzün şaşkın kalmış.,4,
Kıyafetin çok çiğ, göz yoruyor resmen.,4,
Renk seçimin göz zevkimi öldürdü.,4,
Modayı yanlış anlamışsın herhalde.,4,
Bu kadar ilgi çekmeye çalışma, güzellik yok zaten.,4,
Yüz oranların orantısız durmuş.,4,
Filtreyi fazla kaçırınca insan gibi durmuyorsun.,4,
Fotoşop biraz az olmuş, gerçek yüz çıkmış.,4,
Estetik seni kurtaramaz, boşuna uğraşma.,4,
Gülüşün yapay durmuş.,4,
Saç modelin seni olduğundan yaşlı göstermiş.,4,
Duruşun eğri, dikkat çekiyor.,4,
Kalça yok ama poz var.,4,
Makyajın bir felaket, ton farkı var.,4,
Senin surat hep kızgın mı yoksa mimik mi yok?,4,
Cildin sivilce içinde, filtre de işe yaramamış 😬,4,
Burnunu bir daha saklamaya çalışma, olmuyor 😑,4,
Gözaltların çok mor, hasta gibisin 😷,4,
O kadar poz verdin ama bir tanesi bile güzel değil 😬,4,
Profil fotoğrafını değiştir artık, bakmaya utanıyorum 😑,4,
Ruj rengin o kadar kötü ki dikkat başka yere kayıyor 😒,4,
Kıyafet seçimin göz yormuş, çok karışık 😬,4,
Tipinle değil konuşmalarınla öne çıkmaya çalışsan 🤔,4,
Bu kadar poz vermek neden, tip yok zaten 😑,4,
Hangi açıdan baksan çirkin durmuş 😬,4,
O kirpikler doğal mı? Çünkü doğallıktan eser yok 😳,4,
Çene hattın yok ama kendine güven tam 😏,4,
Giydiğin kıyafet seni daha da kısa göstermiş 😒,4,
Suratın asık, neye trip atıyorsun anlamadım 😑,4,
Kaş ortası alınmamış, dikkat dağıtıyor 😬,4,
Bacakların kalın olduğu için etek kötü durmuş 😐,4,
Filtreyle bile kurtulamamışsın, ne acı 😬,4,
Saç rengin dişlerini daha sarı göstermiş 😒,4,
Dekolte vermişsin ama gösterecek bir şey yok 😑,4,
Böyle topuz yapınca kafa büyük duruyor 😬,4,
Sırttan foto atınca güzel olacağını mı düşündün 😒,4,
O kaşlar seni kaş çatıyor gibi yapmış sürekli 😐,4,
Yüz hatların net değil, makyaj da boğmuş 😬,4,
Filtre olmasa seni tanımazdım 😳,4,
Giydiğin kıyafet sana dar, neden ısrar ediyorsun 😑,4,
Tırnakların yapay duruyor, elini gizle istersen 😬,4,
Ayakkabıların ayaklarını çok çirkin göstermiş 😒,4,
Boyun kısa, saçını toplama daha kötü oluyor 😑,4,
Selfie çekmeden önce açıyı biraz daha öğren 😬,4,
Gözlerin şaşı mı çıkmış, yoksa kamera mı bozuk 😳,4,
Her şeyine laf ediyorum ama iyiliğin için 😏,4,
O vücut tipiyle tayt giymek cesaret ister 😬,4,
Bakışların boş, filtreyle bile dolmuyor 😐,4,
Suratındaki ton farklılığı insanı rahatsız ediyor 😬,4,
Saç boyası güzel ama seninle olmamış 😒,4,
Ayakkabılarla elbise uyumsuz, göz kanıyor 😑,4,
Yeni tarz denemişsin ama denememeliydin 😬,4,
Şu burnu düzeltmeden başka şeylere geçmesen mi 😒,4,
Çiller tatlı olabilir ama bu kadar fazla değilse 😐,4,
Dekolte vermişsin ama kadraj bile kaçmış 😬,4,
Ten rengine göre o ruj çok çiğ durmuş 😒,4,
O elbiseyi sen değil, manken taşıyor 😏,4,
Belin yok ama kemer takıyorsun 😑,4,
Surat ifadesi sanki zorla poz vermişsin gibi 😬,4,
Bıyıklarını almayı unutmuşsun galiba 😒,4,
Saç diplerin çok kötü gözüküyor, röfle gitmiş 😬,4,
Şu filtreleri kaldırınca gerçek seni göreceğiz umarım 😏,4,
Renk uyumu sıfır, gözü yordu 😑,4,
Profil resmin gerçek değilse neden koyuyorsun 😬,4,
Kaş şeklin seni sürekli şaşkın gösteriyor 😐,4,
Dudak dolgusu fazla olmuş, abartı duruyor 😬,4,
Suratın asimetrik durmuş, poz seç biraz 😐,4,
Gözlük yüzüne oturmamış, komik durmuş 🤓,4,
Burnun büyük diye demiyorum ama büyük işte 😬,4,
Kaş kalemin kalın olmuş, yüz orantısını bozmuş 😒,4,
